write,pen,prohibit,forbid,prohibit,deploy,prohibit,explain,prohibit,declare,prohibit,attend
wend,stationary,dock,depart,dock,pier,dock,enclosure,dock,doctor,dock,herb
summon,dismiss,well,amiss,well,water,well,scary,well,worry,well,tears
frighten,scare,sink,founder,sink,bowl,sink,rise,sink,flounder,sink,hole
airborne,eagle,subterranean,worm,subterranean,swim,subterranean,cow,subterranean,dinosaur,subterranean,fly
orthodox,heterodox,dormant,active,dormant,latent,dormant,quiescent,dormant,devout,dormant,pious
polychromatic,monochromatic,ascending,descending,prince,king,actor,emoting,lungs,breathing,forgetful,misplace
phobophobia,fear,androphobia,men,androphobia,ghosts,androphobia,women,androphobia,machines,androphobia,technology
orinthophobia,birds,xenophobia,foreigners,xenophobia,darkness,xenophobia,death,xenophobia,silence,xenophobia,heights
bibliophile,book,cinephile,movie,cinephile,computer,cinephile,band,cinephile,song,cinephile,lesson
paedophobia,children,photophobia,light,photophobia,phones,photophobia,angels,photophobia,pictures,photophobia,movies
quadrilateral,four,hexagon,six,hexagon,seven,hexagon,nine,hexagon,ten,hexagon,eight
piscine,fish,leonine,lion,leonine,llama,leonine,bird,leonine,cat,leonine,dog
deify,god,vilify,villain,vilify,juvenile,vilify,ancestor,vilify,protagonist,vilify,adolescent
mortality,death,veracity,truth,veracity,religion,veracity,deception,veracity,kindness,veracity,taxes
audience,audible,centennial,centipede,centennial,one hundred,centennial,sensory,centennial,sensible,centennial,visible
autonomous,independent,subservient,obedient,subservient,autocratic,subservient,morose,subservient,jubilant,subservient,despondent
anarchy,order,atheist,theist,atheist,church,atheist,god,atheist,politics,atheist,chaos
carnal,body,cerebral,brain,cerebral,pious,cerebral,soul,cerebral,wicked,cerebral,energy
gigabyte,billion,terabyte,trillion,terabyte,ten,terabyte,hundred,terabyte,thousand,terabyte,million
theologian,religion,meteorologist,weather,meteorologist,space,meteorologist,volcanoes,meteorologist,oceans,meteorologist,children
manic,frenzied,stupefied,dazed,stupefied,scared,stupefied,dreamed,stupefied,concerned,stupefied,stopped
benign,malignant,benevolent,malevolent,benevolent,critical,benevolent,violent,benevolent,excellent,benevolent,blandness
exterminate,pests,extinguish,fire,celebrity,event,rouse,mob,envelop,coating,question,suspect
extraterrestrial,alien,question,query,question,truancy,question,latency,question,ambidexterity,question,potency
drunkard,intoxicated,braggart,boasting,braggart,fighting,braggart,traveling,braggart,eating,braggart,fleeing
berate,scold,belittle,demean,belittle,praise,belittle,punish,belittle,forgive,belittle,supplant
impregnable,unassailable,meager,scant,meager,excessive,meager,credible,meager,unstoppable,meager,mischievous
new,Neolithic,old,Paleolithic,old,Mesozoic,old,Triassic,old,Jurassic,old,Mesolithic
dysfunctional,inability,cosmopolitan,worldly,cosmopolitan,feral,cosmopolitan,perilous,cosmopolitan,innate,cosmopolitan,focused
mandatory,required,intermittent,irregular,intermittent,abrasive,intermittent,gregarious,intermittent,laborious,intermittent,frequent
fish,gills,squirrel,lungs,squirrel,tail,squirrel,fur,squirrel,acorn,squirrel,ears
agriculture,farming,horticulture,gardening,horticulture,culture,horticulture,religion,horticulture,physics,horticulture,ecosystem
marriage,divorce,contract,termination,contract,slander,contract,anniversary,contract,litigation,contract,accord
terrestrial,earth,celestial,outer space,celestial,mountains,celestial,forests,celestial,caverns,celestial,seas
octopus,eight,centipede,one hundred,centipede,twenty,centipede,ten,centipede,one thousand,centipede,one million
nonagon,nine,octagon,eight,octagon,one thousand,octagon,one hundred,octagon,ten,octagon,five
tertiary,third,quaternary,fourth,quaternary,last,quaternary,first,quaternary,fifth,quaternary,second
microeconomics,small,macroeconomics,large,macroeconomics,business,macroeconomics,finance,macroeconomics,academics,macroeconomics,smaller
triangle,three,pentagon,five,pentagon,triple,pentagon,four,pentagon,shape,pentagon,six
terrestrial,earth,celestial,space,celestial,ocean,celestial,hell,celestial,city,celestial,atmosphere
double,two,quadruple,four,quadruple,five,quadruple,six,quadruple,two,quadruple,three
before,prelude,after,epilogue,after,laborious,after,mandatory,after,catalogue,after,legislate
ill-will,malevolent,goodwill,benevolent,goodwill,beneficial,goodwill,malfeasance,goodwill,malicious,goodwill,malcontent
visible,seen,audible,heard,audible,touched,audible,felt,audible,tasted,audible,spoken
falsify,deceive,magnify,enlarge,magnify,reduce,magnify,diminish,magnify,grant,magnify,achieve
Anglophobia,English,Francophobic,French,Francophobic,Italian,Francophobic,Finnish,Francophobic,Scottish,Francophobic,Spanish
chemistry,chemist,zoology,zoologist,zoology,zoo,zoology,biologist,zoology,animals,zoology,biology
darkness,dark,heaviness,heavy,heaviness,heave,heaviness,lightness,heaviness,weight,heaviness,light
computer,computerize,motor,motorize,motor,motherboard,motor,car,motor,engine,motor,abacus
present,presentable,separate,separable,separate,other,separate,generous,separate,gift,separate,selfish
music,musical,myth,mythical,myth,sound,myth,reality,myth,untrue,myth,classical
teacher,teach,photographer,photograph,photographer,capture,photographer,instruct,photographer,develop,photographer,illustrate
fancy,fanciful,beauty,beautiful,beauty,pretty,beauty,many,beauty,feast,beauty,simple
refusal,refuse,denial,deny,denial,celebrate,denial,acceptance,denial,accusation,denial,reject
length,lengthen,strength,strengthen,strength,lean,strength,long,strength,strong,strength,build
work,worker,employ,employer,contract,hire,boss,employee,labor,job,hard,working
sexist,sex,racist,race,racist,maturity,racist,movement,racist,discrimination,racist,heritage
kind,kindness,prepared,preparedness,prepared,goodness,prepared,effective,prepared,act,prepared,ready
liquefy,liquid,deify,deity,deify,raise,deify,puree,deify,solid,deify,divinity
divisive,divide,prohibitive,prohibit,prohibitive,stop,prohibitive,foreclose,prohibitive,separation,prohibitive,permissive
enjoyable,enjoy,washable,wash,washable,convenient,washable,delight,washable,cleanliness,washable,fabric
glorious,glory,acrimonious,acrimony,exalt,praise,malpractice,bad,doubt,doubtful,fame,celebrates
shame,shameful,spite,spiteful,spite,spiritual,spite,embarrassment,spite,evil,spite,mistake
speechless,speech,artless,art,artless,administration,artless,silence,artless,science,artless,creativity
bothersome,bother,quarrelsome,quarrel,quarrelsome,annoy,quarrelsome,argument,quarrelsome,control,quarrelsome,acquiesce
good,best,sleepy,sleepiest,sleepy,sleepier,sleepy,awake,sleepy,nap,sleepy,tired
nutritious,nutrition,fictitious,fiction,cereal,breakfast,filling,food,unhealthy,health,malice,malicious
alphabetical,alphabet,chronological,chronology,chronological,organization,chronological,numerical,chronological,list,chronological,chaos
endless,end,peerless,peer,peerless,infinity,peerless,finish,peerless,perfection,peerless,alone
